data_date,market_month,price_settle
2022-09-07,JAN 24,1333.25
2022-09-08,JAN 24,1334.25
2022-09-09,JAN 24,1353.25
2022-09-12,JAN 24,1393.5
2022-09-13,JAN 24,1395.5
2022-09-14,JAN 24,1377.5
2022-09-15,JAN 24,1368.5
2022-09-16,JAN 24,1368.5
2022-09-19,JAN 24,1385.25
2022-09-20,JAN 24,1394.25
2022-09-21,JAN 24,1386.75
2022-09-22,JAN 24,1386.5
2022-09-23,JAN 24,1364.0
2022-09-26,JAN 24,1351.75
2022-09-27,JAN 24,1352.25
2022-09-28,JAN 24,1360.5
2022-09-29,JAN 24,1365.0
2022-09-30,JAN 24,1343.5
2022-10-03,JAN 24,1348.5
2022-10-04,JAN 24,1364.75
2022-10-05,JAN 24,1356.5
2022-10-06,JAN 24,1354.25
2022-10-07,JAN 24,1358.75
2022-10-10,JAN 24,1362.0
2022-10-11,JAN 24,1363.5
2022-10-12,JAN 24,1363.0
2022-10-13,JAN 24,1369.75
2022-10-14,JAN 24,1359.5
2022-10-17,JAN 24,1352.75
2022-10-18,JAN 24,1348.75
2022-10-19,JAN 24,1352.25
2022-10-20,JAN 24,1362.0
2022-10-21,JAN 24,1364.5
2022-10-24,JAN 24,1349.25
2022-10-25,JAN 24,1362.0
2022-10-26,JAN 24,1358.0
2022-10-27,JAN 24,1355.25
2022-10-28,JAN 24,1362.5
2022-10-31,JAN 24,1376.75
2022-11-01,JAN 24,1394.75
2022-11-02,JAN 24,1403.0
2022-11-03,JAN 24,1390.25
2022-11-04,JAN 24,1402.0
2022-11-07,JAN 24,1393.75
2022-11-08,JAN 24,1390.25
2022-11-09,JAN 24,1388.25
2022-11-10,JAN 24,1367.25
2022-11-11,JAN 24,1389.25
2022-11-14,JAN 24,1384.0
2022-11-15,JAN 24,1399.0
2022-11-16,JAN 24,1381.0
2022-11-17,JAN 24,1368.75
2022-11-18,JAN 24,1375.5
2022-11-21,JAN 24,1380.0
2022-11-22,JAN 24,1378.0
2022-11-23,JAN 24,1378.0
2022-11-25,JAN 24,1379.75
2022-11-28,JAN 24,1395.25
2022-11-29,JAN 24,1396.5
2022-11-30,JAN 24,1400.0
2022-12-01,JAN 24,1371.75
2022-12-02,JAN 24,1380.5
2022-12-05,JAN 24,1380.25
2022-12-06,JAN 24,1389.0
2022-12-07,JAN 24,1401.0
2022-12-08,JAN 24,1399.75
2022-12-09,JAN 24,1401.0
2022-12-12,JAN 24,1387.0
2022-12-13,JAN 24,1395.5
2022-12-14,JAN 24,1396.75
2022-12-15,JAN 24,1392.0
2022-12-16,JAN 24,1391.75
2022-12-19,JAN 24,1384.0
2022-12-20,JAN 24,1392.75
2022-12-21,JAN 24,1392.5
2022-12-22,JAN 24,1384.25
2022-12-23,JAN 24,1394.75
2022-12-27,JAN 24,1395.25
2022-12-28,JAN 24,1411.0
2022-12-29,JAN 24,1414.25
2022-12-30,JAN 24,1416.25
2023-01-03,JAN 24,1399.0
2023-01-04,JAN 24,1393.25
2023-01-05,JAN 24,1384.5
2023-01-06,JAN 24,1397.75
2023-01-09,JAN 24,1393.0
2023-01-10,JAN 24,1393.0
2023-01-11,JAN 24,1389.75
2023-01-12,JAN 24,1397.75
2023-01-13,JAN 24,1394.75
2023-01-17,JAN 24,1395.0
2023-01-18,JAN 24,1376.75
2023-01-19,JAN 24,1368.5
2023-01-20,JAN 24,1356.0
2023-01-23,JAN 24,1343.5
2023-01-24,JAN 24,1342.0
2023-01-25,JAN 24,1348.25
2023-01-26,JAN 24,1355.5
2023-01-27,JAN 24,1354.75
2023-01-30,JAN 24,1370.5
2023-01-31,JAN 24,1366.5
2023-02-01,JAN 24,1364.0
2023-02-02,JAN 24,1374.25
2023-02-03,JAN 24,1373.5
2023-02-06,JAN 24,1372.0
2023-02-07,JAN 24,1375.0
2023-02-08,JAN 24,1375.0
2023-02-09,JAN 24,1369.5
2023-02-10,JAN 24,1383.25
2023-02-13,JAN 24,1388.75
2023-02-14,JAN 24,1386.5
2023-02-15,JAN 24,1379.75
2023-02-16,JAN 24,1387.75
2023-02-17,JAN 24,1390.5
2023-02-21,JAN 24,1403.5
2023-02-22,JAN 24,1400.75
2023-02-23,JAN 24,1393.0
2023-02-24,JAN 24,1379.0
2023-02-27,JAN 24,1378.25
2023-02-28,JAN 24,1353.75
2023-03-01,JAN 24,1364.75
2023-03-02,JAN 24,1372.75
2023-03-03,JAN 24,1377.5
2023-03-06,JAN 24,1383.25
2023-03-07,JAN 24,1378.25
2023-03-08,JAN 24,1375.75
2023-03-09,JAN 24,1364.0
2023-03-10,JAN 24,1362.0
2023-03-13,JAN 24,1344.25
2023-03-14,JAN 24,1343.0
2023-03-15,JAN 24,1329.25
2023-03-16,JAN 24,1328.75
2023-03-17,JAN 24,1318.25
2023-03-20,JAN 24,1314.5
2023-03-21,JAN 24,1301.25
2023-03-29,JAN 24,1308.25
2022-11-14,JAN 25,1322.5
2022-11-15,JAN 25,1334.5
2022-11-16,JAN 25,1321.5
2022-11-17,JAN 25,1316.25
2022-11-18,JAN 25,1316.0
2022-11-21,JAN 25,1313.75
2022-11-22,JAN 25,1311.75
2022-11-23,JAN 25,1310.0
2022-11-25,JAN 25,1312.25
2022-11-28,JAN 25,1325.5
2022-11-29,JAN 25,1325.0
2022-11-30,JAN 25,1328.75
2022-12-01,JAN 25,1316.5
2022-12-02,JAN 25,1326.5
2022-12-05,JAN 25,1325.5
2022-12-06,JAN 25,1331.75
2022-12-07,JAN 25,1343.0
2022-12-08,JAN 25,1339.5
2022-12-09,JAN 25,1339.0
2022-12-12,JAN 25,1328.25
2022-12-13,JAN 25,1332.25
2022-12-14,JAN 25,1330.75
2022-12-15,JAN 25,1329.0
2022-12-16,JAN 25,1326.75
2022-12-19,JAN 25,1324.25
2022-12-20,JAN 25,1331.25
2022-12-21,JAN 25,1325.75
2022-12-22,JAN 25,1320.75
2022-12-23,JAN 25,1327.0
2022-12-27,JAN 25,1324.5
2022-12-28,JAN 25,1332.5
2022-12-29,JAN 25,1332.0
2022-12-30,JAN 25,1327.0
2023-01-03,JAN 25,1325.25
2023-01-04,JAN 25,1323.25
2023-01-05,JAN 25,1315.25
2023-01-06,JAN 25,1322.0
2023-01-09,JAN 25,1314.25
2023-01-10,JAN 25,1314.0
2023-01-11,JAN 25,1307.25
2023-01-12,JAN 25,1308.5
2023-01-13,JAN 25,1306.25
2023-01-17,JAN 25,1303.25
2023-01-18,JAN 25,1290.0
2023-01-19,JAN 25,1287.25
2023-01-20,JAN 25,1273.5
2023-01-23,JAN 25,1262.0
2023-01-24,JAN 25,1263.75
2023-01-25,JAN 25,1272.5
2023-01-26,JAN 25,1278.0
2023-01-27,JAN 25,1281.25
2023-01-30,JAN 25,1292.0
2023-01-31,JAN 25,1290.25
2023-02-01,JAN 25,1290.0
2023-02-02,JAN 25,1295.5
2023-02-03,JAN 25,1294.5
2023-02-06,JAN 25,1294.5
2023-02-07,JAN 25,1296.25
2023-02-08,JAN 25,1296.25
2023-02-09,JAN 25,1291.25
2023-02-10,JAN 25,1300.0
2023-02-13,JAN 25,1302.5
2023-02-14,JAN 25,1301.5
2023-02-15,JAN 25,1296.75
2023-02-16,JAN 25,1302.5
2023-02-17,JAN 25,1304.5
2023-02-21,JAN 25,1315.0
2023-02-22,JAN 25,1315.5
2023-02-23,JAN 25,1307.25
2023-02-24,JAN 25,1298.75
2023-02-27,JAN 25,1299.75
2023-02-28,JAN 25,1280.0
2023-03-01,JAN 25,1285.75
2023-03-02,JAN 25,1291.75
2023-03-03,JAN 25,1297.25
2023-03-06,JAN 25,1302.75
2023-03-07,JAN 25,1300.75
2023-03-08,JAN 25,1299.25
2023-03-09,JAN 25,1290.5
2023-03-10,JAN 25,1294.0
2023-03-13,JAN 25,1286.75
2023-03-14,JAN 25,1285.0
2023-03-15,JAN 25,1272.5
2023-03-16,JAN 25,1271.75
2023-03-17,JAN 25,1262.25
2023-03-20,JAN 25,1257.5
2023-03-21,JAN 25,1243.75
2023-03-29,JAN 25,1242.25
2021-11-12,MAR 24,1189.25
2021-11-15,MAR 24,1196.5
2021-11-16,MAR 24,1193.75
2021-11-17,MAR 24,1197.5
2021-11-18,MAR 24,1182.25
2021-11-19,MAR 24,1186.5
2021-11-22,MAR 24,1191.0
2021-11-23,MAR 24,1188.25
2021-11-24,MAR 24,1185.75
2021-11-26,MAR 24,1181.25
2021-11-29,MAR 24,1172.0
2021-11-30,MAR 24,1161.25
2021-12-01,MAR 24,1162.5
2021-12-02,MAR 24,1165.75
2021-12-03,MAR 24,1171.5
2021-12-06,MAR 24,1171.5
2021-12-07,MAR 24,1175.25
2021-12-08,MAR 24,1184.75
2021-12-09,MAR 24,1188.25
2021-12-10,MAR 24,1188.75
2021-12-13,MAR 24,1176.5
2021-12-14,MAR 24,1185.5
2021-12-15,MAR 24,1181.0
2021-12-16,MAR 24,1186.0
2021-12-17,MAR 24,1186.0
2021-12-20,MAR 24,1188.0
2021-12-21,MAR 24,1187.5
2021-12-22,MAR 24,1196.25
2021-12-23,MAR 24,1190.25
2021-12-27,MAR 24,1197.5
2021-12-28,MAR 24,1194.0
2021-12-29,MAR 24,1200.0
2021-12-30,MAR 24,1195.0
2021-12-31,MAR 24,1198.75
2022-01-03,MAR 24,1207.25
2022-01-04,MAR 24,1209.5
2022-01-05,MAR 24,1211.75
2022-01-06,MAR 24,1226.5
2022-01-07,MAR 24,1238.25
2022-01-10,MAR 24,1233.75
2022-01-11,MAR 24,1233.75
2022-01-12,MAR 24,1247.0
2022-01-13,MAR 24,1250.5
2022-01-14,MAR 24,1239.75
2022-01-18,MAR 24,1233.25
2022-01-19,MAR 24,1253.25
2022-01-20,MAR 24,1262.5
2022-01-21,MAR 24,1251.0
2022-01-24,MAR 24,1243.0
2022-01-25,MAR 24,1256.5
2022-01-26,MAR 24,1261.75
2022-01-27,MAR 24,1260.0
2022-01-28,MAR 24,1256.0
2022-01-31,MAR 24,1257.75
2022-02-01,MAR 24,1273.0
2022-02-02,MAR 24,1264.0
2022-02-03,MAR 24,1264.25
2022-02-04,MAR 24,1262.5
2022-02-07,MAR 24,1276.5
2022-02-08,MAR 24,1280.0
2022-02-09,MAR 24,1294.75
2022-02-10,MAR 24,1281.0
2022-02-11,MAR 24,1291.25
2022-02-14,MAR 24,1293.75
2022-02-15,MAR 24,1293.0
2022-02-16,MAR 24,1303.25
2022-02-17,MAR 24,1301.5
2022-02-18,MAR 24,1308.0
2022-02-22,MAR 24,1322.25
2022-02-23,MAR 24,1327.0
2022-02-24,MAR 24,1301.5
2022-02-25,MAR 24,1282.25
2022-02-28,MAR 24,1302.0
2022-03-01,MAR 24,1340.5
2022-03-02,MAR 24,1317.75
2022-03-03,MAR 24,1306.5
2022-03-04,MAR 24,1298.75
2022-03-07,MAR 24,1284.25
2022-03-08,MAR 24,1282.75
2022-03-09,MAR 24,1294.75
2022-03-10,MAR 24,1310.5
2022-03-11,MAR 24,1311.5
2022-03-14,MAR 24,1304.5
2022-03-15,MAR 24,1297.5
2022-03-16,MAR 24,1288.75
2022-03-17,MAR 24,1297.0
2022-03-18,MAR 24,1310.75
2022-03-21,MAR 24,1330.75
2022-03-22,MAR 24,1337.5
2022-03-23,MAR 24,1343.25
2022-03-24,MAR 24,1341.75
2022-03-25,MAR 24,1345.0
2022-03-28,MAR 24,1328.75
2022-03-29,MAR 24,1322.0
2022-03-30,MAR 24,1335.0
2022-03-31,MAR 24,1308.25
2022-04-01,MAR 24,1309.75
2022-04-04,MAR 24,1339.0
2022-04-05,MAR 24,1348.5
2022-04-06,MAR 24,1342.5
2022-04-07,MAR 24,1364.75
2022-04-08,MAR 24,1383.25
2022-04-11,MAR 24,1381.0
2022-04-12,MAR 24,1396.25
2022-04-13,MAR 24,1394.25
2022-04-14,MAR 24,1395.25
2022-04-18,MAR 24,1407.5
2022-04-19,MAR 24,1415.5
2022-04-20,MAR 24,1422.25
2022-04-21,MAR 24,1423.75
2022-04-22,MAR 24,1409.0
2022-04-25,MAR 24,1405.5
2022-04-26,MAR 24,1417.0
2022-04-27,MAR 24,1428.25
2022-04-28,MAR 24,1427.5
2022-04-29,MAR 24,1415.75
2022-05-02,MAR 24,1400.5
2022-05-03,MAR 24,1397.75
2022-05-04,MAR 24,1403.75
2022-05-05,MAR 24,1409.0
2022-05-06,MAR 24,1388.75
2022-05-09,MAR 24,1367.75
2022-05-10,MAR 24,1368.25
2022-05-11,MAR 24,1371.0
2022-05-12,MAR 24,1369.75
2022-05-13,MAR 24,1370.0
2022-05-16,MAR 24,1371.5
2022-05-17,MAR 24,1392.5
2022-05-18,MAR 24,1378.25
2022-05-19,MAR 24,1390.25
2022-05-20,MAR 24,1400.0
2022-05-23,MAR 24,1395.75
2022-05-24,MAR 24,1395.75
2022-05-25,MAR 24,1397.25
2022-05-26,MAR 24,1410.75
2022-05-27,MAR 24,1412.5
2022-05-31,MAR 24,1388.75
2022-06-01,MAR 24,1384.0
2022-06-02,MAR 24,1396.75
2022-06-03,MAR 24,1395.25
2022-06-06,MAR 24,1395.25
2022-06-07,MAR 24,1406.75
2022-06-08,MAR 24,1417.25
2022-06-09,MAR 24,1418.75
2022-06-10,MAR 24,1404.5
2022-06-13,MAR 24,1384.25
2022-06-14,MAR 24,1383.75
2022-06-15,MAR 24,1383.0
2022-06-16,MAR 24,1397.0
2022-06-17,MAR 24,1390.75
2022-06-21,MAR 24,1383.25
2022-06-22,MAR 24,1363.25
2022-06-23,MAR 24,1321.75
2022-06-24,MAR 24,1321.0
2022-06-27,MAR 24,1321.0
2022-06-28,MAR 24,1347.25
2022-06-29,MAR 24,1356.0
2022-06-30,MAR 24,1328.75
2022-07-01,MAR 24,1292.25
2022-07-05,MAR 24,1233.75
2022-07-06,MAR 24,1234.25
2022-07-07,MAR 24,1250.25
2022-07-08,MAR 24,1275.75
2022-07-11,MAR 24,1285.25
2022-07-12,MAR 24,1244.75
2022-07-13,MAR 24,1257.75
2022-07-14,MAR 24,1252.0
2022-07-15,MAR 24,1250.0
2022-07-18,MAR 24,1277.0
2022-07-19,MAR 24,1268.0
2022-07-20,MAR 24,1245.5
2022-07-21,MAR 24,1219.75
2022-07-22,MAR 24,1234.5
2022-07-25,MAR 24,1263.75
2022-07-26,MAR 24,1285.75
2022-07-27,MAR 24,1300.75
2022-07-28,MAR 24,1329.75
2022-07-29,MAR 24,1343.25
2022-08-01,MAR 24,1309.25
2022-08-02,MAR 24,1296.5
2022-08-03,MAR 24,1281.25
2022-08-04,MAR 24,1321.5
2022-08-05,MAR 24,1319.25
2022-08-08,MAR 24,1316.25
2022-08-09,MAR 24,1333.0
2022-08-10,MAR 24,1336.0
2022-08-11,MAR 24,1357.25
2022-08-12,MAR 24,1359.75
2022-08-15,MAR 24,1338.5
2022-08-16,MAR 24,1321.75
2022-08-17,MAR 24,1321.5
2022-08-18,MAR 24,1337.5
2022-08-19,MAR 24,1337.25
2022-08-22,MAR 24,1366.25
2022-08-23,MAR 24,1384.25
2022-08-24,MAR 24,1373.25
2022-08-25,MAR 24,1356.5
2022-08-26,MAR 24,1377.25
2022-08-29,MAR 24,1358.0
2022-08-30,MAR 24,1357.0
2022-08-31,MAR 24,1351.5
2022-09-01,MAR 24,1331.75
2022-09-02,MAR 24,1346.5
2022-09-06,MAR 24,1332.75
2022-09-07,MAR 24,1327.0
2022-09-08,MAR 24,1327.75
2022-09-09,MAR 24,1346.75
2022-09-12,MAR 24,1386.0
2022-09-13,MAR 24,1388.0
2022-09-14,MAR 24,1368.75
2022-09-15,MAR 24,1359.5
2022-09-16,MAR 24,1359.75
2022-09-19,MAR 24,1377.5
2022-09-20,MAR 24,1385.75
2022-09-21,MAR 24,1377.5
2022-09-22,MAR 24,1378.25
2022-09-23,MAR 24,1357.0
2022-09-26,MAR 24,1345.0
2022-09-27,MAR 24,1345.25
2022-09-28,MAR 24,1354.0
2022-09-29,MAR 24,1358.75
2022-09-30,MAR 24,1337.75
2022-10-03,MAR 24,1343.5
2022-10-04,MAR 24,1360.0
2022-10-05,MAR 24,1352.25
2022-10-06,MAR 24,1350.5
2022-10-07,MAR 24,1354.25
2022-10-10,MAR 24,1356.75
2022-10-11,MAR 24,1358.0
2022-10-12,MAR 24,1357.5
2022-10-13,MAR 24,1364.0
2022-10-14,MAR 24,1354.75
2022-10-17,MAR 24,1348.0
2022-10-18,MAR 24,1343.75
2022-10-19,MAR 24,1347.75
2022-10-20,MAR 24,1357.75
2022-10-21,MAR 24,1359.5
2022-10-24,MAR 24,1345.0
2022-10-25,MAR 24,1356.5
2022-10-26,MAR 24,1352.75
2022-10-27,MAR 24,1350.0
2022-10-28,MAR 24,1356.75
2022-10-31,MAR 24,1371.0
2022-11-01,MAR 24,1386.5
2022-11-02,MAR 24,1394.75
2022-11-03,MAR 24,1382.5
2022-11-04,MAR 24,1393.25
2022-11-07,MAR 24,1385.25
2022-11-08,MAR 24,1381.5
2022-11-09,MAR 24,1379.75
2022-11-10,MAR 24,1359.0
2022-11-11,MAR 24,1379.0
2022-11-14,MAR 24,1373.5
2022-11-15,MAR 24,1388.75
2022-11-16,MAR 24,1371.0
2022-11-17,MAR 24,1359.25
2022-11-18,MAR 24,1365.25
2022-11-21,MAR 24,1370.0
2022-11-22,MAR 24,1368.25
2022-11-23,MAR 24,1366.75
2022-11-25,MAR 24,1369.25
2022-11-28,MAR 24,1385.0
2022-11-29,MAR 24,1385.75
2022-11-30,MAR 24,1389.75
2022-12-01,MAR 24,1365.25
2022-12-02,MAR 24,1374.75
2022-12-05,MAR 24,1375.25
2022-12-06,MAR 24,1381.25
2022-12-07,MAR 24,1394.25
2022-12-08,MAR 24,1393.0
2022-12-09,MAR 24,1394.5
2022-12-12,MAR 24,1381.75
2022-12-13,MAR 24,1389.75
2022-12-14,MAR 24,1390.75
2022-12-15,MAR 24,1385.5
2022-12-16,MAR 24,1384.5
2022-12-19,MAR 24,1377.25
2022-12-20,MAR 24,1385.5
2022-12-21,MAR 24,1383.75
2022-12-22,MAR 24,1376.5
2022-12-23,MAR 24,1386.0
2022-12-27,MAR 24,1386.0
2022-12-28,MAR 24,1397.75
2022-12-29,MAR 24,1400.25
2022-12-30,MAR 24,1399.75
2023-01-03,MAR 24,1386.0
2023-01-04,MAR 24,1381.25
2023-01-05,MAR 24,1373.75
2023-01-06,MAR 24,1382.75
2023-01-09,MAR 24,1379.0
2023-01-10,MAR 24,1381.5
2023-01-11,MAR 24,1377.75
2023-01-12,MAR 24,1383.5
2023-01-13,MAR 24,1381.25
2023-01-17,MAR 24,1381.0
2023-01-18,MAR 24,1365.0
2023-01-19,MAR 24,1358.75
2023-01-20,MAR 24,1346.5
2023-01-23,MAR 24,1335.0
2023-01-24,MAR 24,1333.0
2023-01-25,MAR 24,1338.75
2023-01-26,MAR 24,1345.0
2023-01-27,MAR 24,1346.25
2023-01-30,MAR 24,1359.5
2023-01-31,MAR 24,1356.5
2023-02-01,MAR 24,1355.75
2023-02-02,MAR 24,1365.25
2023-02-03,MAR 24,1364.0
2023-02-06,MAR 24,1363.25
2023-02-07,MAR 24,1366.5
2023-02-08,MAR 24,1365.0
2023-02-09,MAR 24,1360.5
2023-02-10,MAR 24,1372.75
2023-02-13,MAR 24,1377.5
2023-02-14,MAR 24,1374.5
2023-02-15,MAR 24,1368.5
2023-02-16,MAR 24,1375.75
2023-02-17,MAR 24,1378.25
2023-02-21,MAR 24,1391.5
2023-02-22,MAR 24,1390.25
2023-02-23,MAR 24,1381.0
2023-02-24,MAR 24,1370.0
2023-02-27,MAR 24,1369.5
2023-02-28,MAR 24,1346.5
2023-03-01,MAR 24,1357.25
2023-03-02,MAR 24,1363.0
2023-03-03,MAR 24,1367.75
2023-03-06,MAR 24,1373.5
2023-03-07,MAR 24,1368.25
2023-03-08,MAR 24,1366.0
2023-03-09,MAR 24,1354.5
2023-03-10,MAR 24,1353.25
2023-03-13,MAR 24,1336.75
2023-03-14,MAR 24,1335.5
2023-03-15,MAR 24,1322.25
2023-03-16,MAR 24,1321.75
2023-03-17,MAR 24,1312.0
2023-03-20,MAR 24,1309.75
2023-03-21,MAR 24,1295.75
2023-03-29,MAR 24,1305.0
2022-11-14,MAR 25,1312.0
2022-11-15,MAR 25,1324.0
2022-11-16,MAR 25,1311.0
2022-11-17,MAR 25,1305.75
2022-11-18,MAR 25,1305.5
2022-11-21,MAR 25,1303.25
2022-11-22,MAR 25,1301.25
2022-11-23,MAR 25,1299.5
